"","REGION","STATEFIP","METRO","OWNERSHP","RENT","FOODSTMP","VEHICLES","FAMSIZE","NCHILD","SEX","AGE","MARST","MARRNO","RACE","CITIZEN","SPEAKENG","HCOVANY","EDUC","GRADEATT","EMPSTAT","UHRSWORK","INCTOT","FTOTINC","INCWELFR","POVERTY","VETDISAB","DIFFREM","VETSTAT","UTILITIES","HHINCOME"
"72","1",17,"0",1,0,"0",4,"4",0,"0",20,"0",0,"1","0","1","0",7,6,"1",15,4000,148100,0,"1","0",1,1,3008.25,NA
"73","1",17,"0",2,600,"0",1,"2",1,"0",25,"0",1,"8","0","1","0",8,6,"1",4,14000,14000,0,"0","0",1,1,2873.25,NA
"74","1",17,"0",0,0,"0",0,"1",0,"0",20,"0",0,"6","0","1","0",7,6,"1",6,300,0,0,"0","0",1,1,0,NA
"75","1",17,"0",1,0,"0",2,"4",2,"0",33,"0",1,"1","0","1","0",6,6,"1",40,21000,51000,0,"1","0",1,1,5836.25,NA
"76","1",17,"0",0,0,"0",0,"1",0,"0",18,"0",0,"8","2","1","0",7,6,"1",20,2000,0,0,"0","0",1,1,0,NA
"77","1",17,"0",2,540,"0",2,"1",0,"0",28,"0",0,"2","0","1","0",7,6,"1",40,42500,42500,0,"1","0",1,1,7705.5,NA
"78","1",17,"0",1,0,"0",2,"3",1,"0",34,"0",1,"6","0","1","0",11,7,"1",40,23100,51380,0,"1","0",1,1,3068.25,NA
"79","1",17,"0",1,0,"0",5,"3",0,"0",21,"0",0,"1","0","1","0",7,6,"1",32,8600,62600,0,"1","0",1,1,3488.25,NA
"80","1",17,"0",0,0,"0",0,"1",0,"0",19,"0",0,"1","0","1","0",7,6,"0",40,3000,0,0,"0","0",1,1,0,NA
"81","1",17,"0",1,0,"0",5,"5",0,"0",19,"0",0,"1","0","1","0",6,6,"1",25,9000,179014,0,"1","0",1,1,3433.25,NA
"82","1",17,"0",0,0,"0",0,"1",0,"0",21,"0",0,"6","0","1","0",7,6,"0",0,960,0,0,"0","0",1,1,0,NA
"83","1",17,"0",1,0,"0",3,"1",0,"0",20,"0",0,"1","0","1","0",7,6,"1",35,14000,14000,0,"1","0",1,1,3148.25,NA
"84","1",17,"0",0,0,"0",0,"1",0,"0",22,"0",0,"1","0","1","0",6,6,"1",8,4700,0,0,"0","0",1,1,0,NA
"85","1",17,"0",0,0,"0",0,"1",0,"0",19,"0",0,"1","0","1","0",7,6,"0",25,1100,0,0,"0","0",1,1,0,NA
"86","1",17,"0",2,1200,"0",1,"1",0,"0",27,"0",0,"1","0","1","0",11,7,"1",40,50000,50000,0,"1","0",1,1,5358.5,NA
